Questionnaire Code:,"Would you prefer receiving alerts/information/advice(exclusive deals, cashback offers, coupons), if so how?","	Would you like to avail any last minute deals/emergency deals?",        How often do you go to Movies/Sports/Public Events?,        How often do you go to Movies/Sports/Public Events?,How often do you go to Movies/Sports/Public Events?,"Do you prefer having food while in Movies/Sports/Public Events (Concert/Trade Fair)? If yes, what type?","	How much do you mostly spend on a single visit to Movies/Sports/Public Events (concert/trade fair) in Crowns?","	What are the factors considered while staying at a hotel?","	Would you lik to purchase items online, if offered bundle?","	What type of discounts/offers d you look for when you shop online?","	What type of discounts/offers do you look for whe you make MFS transactions?","	What type of discounts/offers do you look for whe you make MFS transactions?","	Do you use internet in your phone?","	What type of internet packages do you use?","	What type of apps do you use on your mobile?","	What type of apps do you use on your mobile?","	What type of apps do you use on your mobile?","What is your monthly Expenditure in Crowns behind mobile phone? (Voice Call, Internet, SMS, Others)","	Do you shop online?","	What kind of products/services do you shop online?","	What kind of products/services do you shop online?","	What kind of products/services do you shop online?","	What is the avg. amount spent per online shopping?","	% of online shopping Basket: Online shopping as a % of total shopping.",What are the most important features that you want in your MFS app?,What are the most important features that you want in your MFS app?,What are the most important features that you want in your MFS app?,"	Do you think you will decrease/stop online shopping in the next year?","If you answer to the previous question is ""Yes""","If you answer to the previous question is ""Yes""","If you answer to the previous question is ""Yes""","If your answer is ""no""","If your answer is ""no""","If your answer is ""no""",Do you think you will start using digital financial services next year?,"If you answer to the previous question is ""Yes"" or ""Maybe""","If you answer to the previous question is ""Yes"" or ""Maybe""","If you answer to the previous question is ""Yes"" or ""Maybe""",What is your preferred MFS to use when shopping online?,"	How would you prefer to get the refund?","	How would you prefer to get the refund?","	How would you prefer to get the refund?","	What is your gender?","	What is your age?",Age Profile,"	What is your profession?","	Which sector are you currently employed in?","	In which industry are you employed?","	What is your marital status?","	Where do you live?",What is your monthly household income?,Econ Profile,"	What type of person do you consider yourself in terms of online shopping?"
11,Website,"Yes, at a discounted price",Twice a month,Never,Once/twice in a year,I prefer having some light snacks like sandwich,"501-1,000",Environment,"Yes, at a discounted price",Cash discounts,Mobile Talk time top up,Coupons,Yes,Customized,Facebook,YouTube,Viber,500 - 700,Once/twice in a year,Cloths,Accessories,Food,500 - 700,51-70%,High Security ,Longer transaction time-out,Easy to use mobile app,Maybe,I am more comfortable visiting physically,Poor customer service,No bargaining option,Finds it complicated,Cannot trust online transaction,Lack of discount/offers,Maybe,Easy to make payment/Convenient,Don't have to travel,Last minute deals,SnapTap,Bank Account,Cash delivered,Mobile balance top up,Female,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Mogbazar,"50,001-100,000",Emerging,I think online payment system is not secured yet
12,Sms,"Yes, at a discounted price",Once a month,,Once/twice in 6 months,I prefer having some soft drinks with popcorns/French fries,Up to 500,Quality of the room,"Yes, at regular price",Cash discounts,Cashback offer,Coupons,At times,Customized,Facebook,WhatsApp,Instagram,500 - 700,Once/twice in a year,Cloths,Accessories,Electronic gadgets,"1,001 - 2,000",31-50%,Longer transaction time-out,Higher Transaction Limit,Easy to use mobile app,No,,,,Cannot trust online transaction,Less option to choose from,Love the touch and feel,Maybe,Easy to make payment/Convenient,Don't have to travel,,Chime,Bank Account,Cash delivered,Mobile balance top up,Female,21-30 years,Millennials,Employed,Private - Not for Profit,Education,Single with no kid,Mogbazar,"50,001-100,000",Emerging,I use internet mainly for socialization
13,Sms,"Yes, at a discounted price",Once a month,Never,Once/twice in a year,I prefer having some light snacks like sandwich,"1,001-2,000",Restaurant availability,"Yes, at regular price",Cash discounts,Cashback offer,Coupons,Yes,Monthly Limited,Facebook,YouTube,Instagram,"1,001 - 2,000",Once/twice in 6 months,Cloths,Electronic gadgets,Food,"1,001 - 2,000",31-50%,Longer transaction time-out,Easy to use mobile app,High mobile optimization,Maybe,Poor quality of product/service,User experience (App) was poor,User experience (Web) was poor,Can't find what is being looked for,Finds it complicated,Less option to choose from,No,,,,Chime,Bank Account,Cash delivered,Internet balance top up,Female,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Dhanmondi,"100,001-200,000",Established,I like to explore new things
14,Phone call,"Yes, at a discounted price",Once/twice in 6 months,Once/twice in a year,Once/twice in a year,I prefer having some light snacks like sandwich,"501-1,000",Quality of the service,"Yes, at a discounted price",Gifts (T-shirt/Mug),Internet balance top up,Coupons,Yes,Monthly Limited,Facebook,YouTube,Gaming apps,500 - 700,Once/twice in 6 months,Cloths,Electronic gadgets,Food,"1,001 - 2,000",11-30%,Longer transaction time-out,Easy to use mobile app,,No,,,,Poor customer service,Lack of discount/offers,No bargaining facility,Maybe,Reliable call center service,Don't have to travel,,SnapTap,Cash delivered,Mobile balance top up,Internet balance top up,Male,21-30 years,Millennials,Student,,,Single with no kid,Malibag,"Up to 50,000",Aspirant,I think online payment system is not secured yet
15,Email,"Yes, at a discounted price",Once a month,Once/twice in 6 months,Once/twice in a year,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Quality of the service,"Yes, at a discounted price",Cash discounts,Mobile Talk time top up,Internet balance top up,Yes,Monthly unlimited,Facebook,YouTube,Food ordering apps,500 - 700,Once/twice in 6 months,Cloths,Accessories,Food,"701 - 1,000",11-30%,Call center facilities,Longer transaction time-out,Easy to use mobile app,No,,,,Cannot trust online transaction,Poor customer service,Description of the product/service is not detailed,Maybe,Don't have to travel,Easy to make payment/Convenient,Last minute deals,Chime,Bank Account,Internet balance top up,Earning credits for future purchase,Male,31-40 years,Gen X,Employed,Private - For Profit,Telecom,Married with 1 kid,Malibag,"Up to 50,000",Aspirant,I find adapting to new technology difficult
16,Sms,"Yes, at a discounted price",Once/twice in 6 months,Once/twice in a year,Once/twice in a year,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Quality of the service,"Yes, at a discounted price",Mobile Talk time top up,Internet balance top up,Coupons,Yes,Monthly Limited,Facebook,YouTube,Maps,500 - 700,Once/twice in 6 months,Cloths,Accessories,Food,"701 - 1,000",Up to 10%,High Security ,Higher Transaction Limit,Easy to use mobile app,No,,,,Cannot trust online transaction,Poor customer service,Love the touch and feel,Maybe,Can transfer funds between accounts easily,Reliable call center service,Don't have to travel,Chime,Bank Account,Concession on the next purchase,Earning credits for future purchase,Male,31-40 years,Gen X,Employed,Private - For Profit,Manufacturing,Married with 1 kid,Malibag,"Up to 50,000",Aspirant,I use internet mainly for work/business
17,I don't prefer,No,Once/twice in 6 months,Once/twice in 6 months,Never,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Size of the room,"Yes, at a discounted price",Gifts (T-shirt/Mug),Cashback offer,,Yes,Monthly Limited,Facebook,YouTube,Instagram,Up to 500,Once/twice in a year,Cloths,Accessories,,"1,001 - 2,000",Up to 10%,Easy to use mobile app,Call center facilities,,Maybe,I am more comfortable visiting physically,Less option to choose from,User experience (Web) was poor,Can't find what is being looked for,Payment is difficult,No option for seat selection,No,,,,Chime,Bank Account,Cash delivered,,Male,21-30 years,Millennials,Employed,Private - For Profit,Financial Institution,Single with no kid,Dhanmondi,"More than 300,000",Affluent,I like to explore new things
18,Sms,"Yes, at a discounted price",Once/twice in 6 months,Once/twice in 6 months,Once/twice in a year,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Environment,"Yes, at a discounted price",Cash discounts,Mobile Talk time top up,Cashback offer,Yes,Monthly unlimited,Facebook,YouTube,Food ordering apps,500 - 700,Once a month,Cloths,Electronic gadgets,Commodity,"1,001 - 2,000",11-30%,Easy to use mobile app,High Security ,High mobile optimization,No,,,,Finds it complicated,Poor customer service,Description of the product/service is not detailed,Maybe,Don't have to travel,Reliable call center service,Easy to make payment/Convenient,Chime,Bank Account,Internet balance top up,Earning credits for future purchase,Male,21-30 years,Millennials,Student,,,Single with no kid,Malibag,"Up to 50,000",Aspirant,I use internet mainly for socialization
19,Email,"Yes, at a discounted price",Once/twice in 6 months,Once/twice in a year,Once/twice in a year,I would rather prefer snacks/meal coupon while buying tickets to avoid any hassle,"501-1,000",Ease of payment,"Yes, at a discounted price",Cash discounts,Internet balance top up,Cashback offer,Yes,Monthly unlimited,Facebook,Ecommerce apps,Food ordering apps,500 - 700,Once/twice in 6 months,Cloths,Accessories,Food,"1,001 - 2,000",11-30%,High Security ,Longer transaction time-out,Easy to use mobile app,No,,,,Cannot trust online transaction,Lack of discount/offers,No option for seat selection,Maybe,Easy to make payment/Convenient,Attractive discounts,Don't have to travel,Chime,Bank Account,Internet balance top up,Earning credits for future purchase,Female,21-30 years,Millennials,Student,,,Single with no kid,Malibag,"Up to 50,000",Aspirant,I like to explore new things
20,Phone call,"Yes, at a discounted price",Once/twice in a year,,,I prefer having some light snacks like sandwich,"501-1,000",Quality of the service,"Yes, at a discounted price",Cash discounts,Mobile Talk time top up,Coupons,Yes,Monthly Limited,Facebook,Ecommerce apps,Food ordering apps,"1,001 - 2,000",Once/twice in 6 months,Cloths,Accessories,Food,"701 - 1,000",11-30%,Longer transaction time-out,Easy to use mobile app,,No,,,,Payment is difficult,Lack of discount/offers,Description of the product/service is not detailed,Maybe,,,,SnapTap,Cash delivered,Mobile balance top up,Earning credits for future purchase,Female,21-30 years,Millennials,Homemaker,,,Married with no kids,Malibag,"Up to 50,000",Aspirant,I love the touch and feel of the product while shopping
21,Email,"Yes, but at regular price",Once/twice in 6 months,Once/twice in 6 months,,I prefer having some light snacks like sandwich,"501-1,000",Environment,"Yes, at a discounted price",Cash discounts,Mobile Talk time top up,Cashback offer,Yes,Monthly unlimited,Facebook,YouTube,Viber,500 - 700,Once/twice in 6 months,Cloths,Accessories,Food,500 - 700,11-30%,More privacy assurance,Higher Transaction Limit,Easy to use mobile app,No,,,,Cannot trust online transaction,Less option to choose from,Description of the product/service is not detailed,Maybe,Easy to make payment/Convenient,Efficient customer service,,Chime,Bank Account,Internet balance top up,Concession on the next purchase,Female,21-30 years,Millennials,Student,,,Single with no kid,Uttara,"Up to 50,000",Aspirant,I like to explore new things
22,Sms,"Yes, at a premium price",Once/twice in 6 months,,,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Discount/Offers,"Yes, at a discounted price",Cash discounts,Internet balance top up,Coupons,No,,,,,Up to 500,Once/twice in a year,Cloths,,,"701 - 1,000",Up to 10%,High Security ,Easy to use mobile app,High mobile optimization,Maybe,Poor quality of product/service,No bargaining option,No option for seat selection,Poor customer service,Lack of discount/offers,No option for seat selection,Yes,Attractive discounts,Don't have to travel,Floating deals during off-peak hours,Chime,Bank Account,Internet balance top up,Concession on the next purchase,Female,41-50 years,Baby Boomers,Homemaker,,,Married with more than 1 kid,Uttara,"50,001-100,000",Emerging,I love the touch and feel of the product while shopping
23,Sms,"Yes, at a discounted price",Once/twice in 6 months,Once/twice in a year,Once/twice in a year,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Size of the room,"Yes, at a discounted price",Cash discounts,Mobile Talk time top up,Cashback offer,Yes,Monthly Limited,Facebook,YouTube,Food ordering apps,500 - 700,Once/twice in 6 months,Electronic gadgets,,,"701 - 1,000",Up to 10%,Longer transaction time-out,Easy to use mobile app,,No,,,,Less option to choose from,No option for seat selection,I am not a tech savvy person,Yes,Reliable call center service,Don't have to travel,Easy to make payment/Convenient,PayUp,Bank Account,Concession on the next purchase,Earning credits for future purchase,Male,41-50 years,Baby Boomers,Employed,Private - For Profit,RMG/Textile,Married with 1 kid,Uttara,"Up to 50,000",Aspirant,I love the touch and feel of the product while shopping
24,Phone call,"Yes, at a premium price",Never,Never,Never,I prefer having tea/coffee,Up to 500,Safety,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Cashback offer,At times,Monthly Limited,Facebook,Imo,Viber,"1,001 - 2,000",Never,I don't shop online,,,I don't shop online,I don't shop online,Higher Transaction Limit,Easy to use mobile app,,No,,,,Cannot trust online transaction,I am not a tech savvy person,Can't tell if the product is genuine,Maybe,Insurance facilities,Don't have to travel,Might improve service after some time,PayUp,Bank Account,Cash delivered,,Female,41-50 years,Baby Boomers,Homemaker,Not Applicable,Not employed,Married with more than 1 kid,Mogbazar,"100,001-200,000",Established,I love the touch and feel of the product while shopping
25,Sms,"Yes, at a discounted price",Twice a month,Once/twice in 6 months,Once/twice in a year,I would rather prefer snacks/meal coupon while buying tickets to avoid any hassle,"501-1,000",Safety,No,Gifts (T-shirt/Mug),Mobile Talk time top up,Internet balance top up,Yes,Pay as you go,Facebook,Imo,Viber,Up to 500,Never,I don't shop online,,,I don't shop online,I don't shop online,Longer transaction time-out,Easy to use mobile app,Facebook based customer services,No,,,,,was not aware,,Maybe,,more convenient,,SnapTap,Cash delivered,Mobile balance top up,Internet balance top up,Female,Up to 20 years,iGen,Student,Not Applicable,Not employed,Single with no kid,Malibag,"50,001-100,000",Emerging,I use internet mainly for socialization
26,Email,"Yes, but at regular price",Once a month,Once/twice in 6 months,Once/twice in 6 months,I prefer having some soft drinks with popcorns/French fries,Up to 500,Safety,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Coupons,Yes,Monthly unlimited,Facebook,Viber,Shohoz.com,"1,001 - 2,000",Once/twice in 6 months,Accessories,Electronic gadgets,,500 - 700,11-30%,Easy to use mobile app,Longer transaction time-out,Facebook based customer services,No,,,,,,,Yes,Can transfer funds between accounts easily,Easy to make payment/Convenient,Reliable call center service,Chime,Bank Account,Cash delivered,mobile banking,Male,31-40 years,Gen X,Employed,Private - For Profit,Telecom,Single with no kid,Jatrabari,"Up to 50,000",Aspirant,I like to explore new things
27,I don't prefer,No,Never,Never,Once/twice in a year,I prefer complementary meal/food service,"1,001-2,000",Price,No,Cash discounts,Cashback offer,Coupons,No,I don't use internet in my phone,I don't use apps,,,Up to 500,Never,I don't shop online,,,I don't shop online,I don't shop online,Easy to use mobile app,Call center facilities,,No,,,,I am not a tech savvy person,,,Maybe,Last minute deals,Don't have to travel,,SnapTap,Cash delivered,bkash,,Male,50+ years,Baby Boomers,Employed,Private - For Profit,Financial Institution,Married with more than 1 kid,Jatrabari,"50,001-100,000",Emerging,I find adapting to new technology difficult
28,Sms,"Yes, at a discounted price",Twice a month,Never,Never,I prefer complementary meal/food service,"1,001-2,000",Price,No,Cash discounts,Gifts (Free tickets/food voucher),Coupons,Yes,Monthly unlimited,Facebook,YouTube,Viber,"1,001 - 2,000",More than twice a month,Cloths,Accessories,Food,"1,001 - 2,000",31-50%,Easy to use mobile app,Longer transaction time-out,High mobile optimization,No,,,,Cannot trust online transaction,Over price,Can't tell if the product is genuine,Maybe,Don't have to travel,Attractive discounts,Last minute deals,Chime,Bank Account,Cash delivered,Concession on the next purchase,Female,31-40 years,Gen X,Employed,Private - For Profit,Education,Married with 1 kid,Dhanmondi,"100,001-200,000",Established,I use internet mainly for socialization
29,Phone call,"Yes, at a discounted price",Once/twice in 6 months,Once/twice in 6 months,Once/twice in 6 months,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Discount/Offers,"Yes, at a discounted price",Mobile Talk time top up,Internet balance top up,Coupons,Yes,Monthly Limited,Facebook,YouTube,Food ordering apps,500 - 700,Once/twice in 6 months,Cloths,Electronic gadgets,Food,"701 - 1,000",11-30%,High Security ,Longer transaction time-out,Easy to use mobile app,No,,,,Cannot trust online transaction,Poor customer service,Description of the product/service is not detailed,Yes,Easy to make payment/Convenient,Attractive discounts,,Chime,Cash delivered,Internet balance top up,Concession on the next purchase,Male,31-40 years,Gen X,Employed,Own Business,Hotel business,Single with no kid,Uttara,"50,001-100,000",Emerging,I like to explore new things
30,Phone call,"Yes, at a premium price",Once/twice in 6 months,Once/twice in a year,,I prefer having some light snacks like sandwich,"501-1,000",Environment,"Yes, at a discounted price",Cash discounts,Internet balance top up,Coupons,Yes,Monthly Limited,Facebook,YouTube,Food ordering apps,500 - 700,Once/twice in 6 months,Cloths,Electronic gadgets,Commodity,"701 - 1,000",Up to 10%,High Security ,Higher Transaction Limit,Easy to use mobile app,No,,,,Payment is difficult,Lack of discount/offers,No option for seat selection,Maybe,Reliable call center service,Don't have to travel,,Chime,Mobile balance top up,Concession on the next purchase,Earning credits for future purchase,Male,31-40 years,Gen X,Employed,Own Business,RMG/Textile,Single with no kid,Uttara,"50,001-100,000",Emerging,I find adapting to new technology difficult
31,Sms,"Yes, at a discounted price",Once a month,Once/twice in 6 months,Once/twice in 6 months,I prefer having some light snacks like sandwich,"501-1,000",Discount/Offers,"Yes, at a discounted price",Cash discounts,Internet balance top up,Coupons,Yes,Pay as you go,Facebook,YouTube,Food ordering apps,500 - 700,Once a month,Cloths,Commodity,Food,"1,001 - 2,000",11-30%,More privacy assurance,Longer transaction time-out,Easy to use mobile app,No,,,,Finds it complicated,Payment is difficult,Description of the product/service is not detailed,Maybe,Can transfer funds between accounts easily,Attractive discounts,Don't have to travel,Chime,Cash delivered,Internet balance top up,Concession on the next purchase,Male,41-50 years,Baby Boomers,Employed,Own Business,RMG/Textile,Married with no kids,Uttara,"Up to 50,000",Aspirant,I like to explore new things
32,Sms,"Yes, at a discounted price",Once/twice in 6 months,,Once/twice in a year,I prefer having some light snacks like sandwich,"1,001-2,000",Ease of payment,"Yes, at a discounted price",Mobile Talk time top up,Internet balance top up,Coupons,Yes,Monthly Limited,Facebook,YouTube,Food ordering apps,500 - 700,Once/twice in 6 months,Cloths,Electronic gadgets,Food,"1,001 - 2,000",Up to 10%,High Security ,Longer transaction time-out,Easy to use mobile app,No,,,,Finds it complicated,Less option to choose from,Description of the product/service is not detailed,Maybe,Can transfer funds between accounts easily,Reliable call center service,Easy to make payment/Convenient,Chime,Bank Account,Internet balance top up,Concession on the next purchase,Male,31-40 years,Gen X,Employed,Private - For Profit,Manufacturing,Married with no kids,Uttara,"50,001-100,000",Emerging,I find adapting to new technology difficult
33,Sms,"Yes, at a discounted price",Once/twice in 6 months,,Once/twice in a year,I prefer having some light snacks like sandwich,"501-1,000",Quality of the service,"Yes, at a discounted price",Mobile Talk time top up,Internet balance top up,Coupons,Yes,Monthly Limited,Facebook,YouTube,Food ordering apps,,Once/twice in 6 months,Cloths,Electronic gadgets,Food,"701 - 1,000",11-30%,High Security ,Higher Transaction Limit,Easy to use mobile app,No,,,,Payment is difficult,Poor customer service,Description of the product/service is not detailed,Maybe,Easy to make payment/Convenient,Attractive discounts,,Chime,Mobile balance top up,Internet balance top up,Earning credits for future purchase,Male,31-40 years,Gen X,Employed,Private - For Profit,Telecom,Married with no kids,Uttara,"50,001-100,000",Emerging,I find adapting to new technology difficult
